P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Hcyd.chi.pan	Hcyd.zel.col	Hmel.ama.per	0.00638143	3.33034	0.00086739	0.00279055	676597	145672	143824
Hcyd.chi.pan	Hcyd.zel.col	Hmel.mal.col	0.00502899	2.89245	0.00382254	0.00236569	662588	148456	146971
Hcyd.chi.pan	Hcyd.zel.col	Hmel.mel.gui	0.00151015	0.734405	0.462702	0.000490289	631475	135655	135246
Hcyd.zel.col	Hcyd.chi.pan	Hmel.ros.pan	0.00386708	1.8413	0.0655774	0.00288951	517136	185272	183844
Hcyd.chi.pan	Hcyd.zel.col	Hmel.vul.col	0.00415211	1.96102	0.0498771	0.00280259	516098	187693	186141
Hcyd.chi.pan	Hcyd.zel.col	Htim.flo.per	0.000349691	0.167752	0.866779	0.000209136	489568	175931	175808
Hcyd.chi.pan	Hcyd.zel.col	Htim.the.per	0.00157566	0.792234	0.428224	0.000868917	508010	174233	173685
Hmel.ama.per	Hmel.mal.col	Hcyd.chi.pan	0.0455981	15.5088	2.3e-16	0.0220299	650372	172124	157111
Hmel.ama.per	Hmel.mel.gui	Hcyd.chi.pan	0.0220766	3.38338	0.00071599	0.0116892	554834	173571	166073
Hmel.ama.per	Hmel.ros.pan	Hcyd.chi.pan	0.366135	63.175	2.3e-16	0.293582	375376	370874	172080
Hmel.ama.per	Hmel.vul.col	Hcyd.chi.pan	0.372141	65.9687	2.3e-16	0.300013	377234	378092	173006
Hcyd.chi.pan	Htim.flo.per	Hmel.ama.per	0.456047	94.2893	2.3e-16	0.409657	362318	417563	155994
Hcyd.chi.pan	Htim.the.per	Hmel.ama.per	0.496955	95.2469	2.3e-16	0.46741	344382	454743	152815
Hmel.mel.gui	Hmel.mal.col	Hcyd.chi.pan	0.0173146	2.58308	0.00979229	0.00981476	526620	182081	175883
Hmel.mal.col	Hmel.ros.pan	Hcyd.chi.pan	0.341846	58.82	2.3e-16	0.276975	379679	358839	176005
Hmel.mal.col	Hmel.vul.col	Hcyd.chi.pan	0.348068	60.4831	2.3e-16	0.283595	381425	365948	176974
Hcyd.chi.pan	Htim.flo.per	Hmel.mal.col	0.436015	92.3223	2.3e-16	0.41657	354365	415938	163357
Hcyd.chi.pan	Htim.the.per	Hmel.mal.col	0.456285	87.8237	2.3e-16	0.449619	340170	439744	164181
Hmel.mel.gui	Hmel.ros.pan	Hcyd.chi.pan	0.36727	71.7595	2.3e-16	0.281463	382866	331053	153201
Hmel.mel.gui	Hmel.vul.col	Hcyd.chi.pan	0.3734	75.0299	2.3e-16	0.288677	382684	337750	154095
Hcyd.chi.pan	Htim.flo.per	Hmel.mel.gui	0.363875	68.4313	2.3e-16	0.229424	352015	349572	163044
Hcyd.chi.pan	Htim.the.per	Hmel.mel.gui	0.392373	70.0669	2.3e-16	0.256769	338021	373358	162932
Hmel.ros.pan	Hmel.vul.col	Hcyd.chi.pan	0.0116737	3.15036	0.0016307	0.0101641	526413	213697	208766
Htim.flo.per	Hcyd.chi.pan	Hmel.ros.pan	0.0307113	5.2246	1.7453e-07	0.0355015	306975	295401	277798
Htim.the.per	Hcyd.chi.pan	Hmel.ros.pan	0.031684	5.10238	3.35401e-07	0.0373457	299431	304621	285911
Htim.flo.per	Hcyd.chi.pan	Hmel.vul.col	0.0327927	5.72626	1.02669e-08	0.0340891	306541	299160	280163
Htim.the.per	Hcyd.chi.pan	Hmel.vul.col	0.0318706	5.2587	1.45076e-07	0.0338742	298667	308312	289267
Htim.the.per	Htim.flo.per	Hcyd.chi.pan	0.0438066	10.1916	2.3e-16	0.0332415	546821	187995	172216
Hmel.ama.per	Hmel.mal.col	Hcyd.zel.col	0.0444176	15.0137	2.3e-16	0.0218604	662843	175795	160842
Hmel.ama.per	Hmel.mel.gui	Hcyd.zel.col	0.0167448	2.57037	0.0101591	0.00899691	560977	174722	168967
Hmel.ama.per	Hmel.ros.pan	Hcyd.zel.col	0.358376	60.7141	2.3e-16	0.291838	382527	374758	177016
Hmel.ama.per	Hmel.vul.col	Hcyd.zel.col	0.36941	64.4672	2.3e-16	0.303676	384927	386222	177849
Hcyd.zel.col	Htim.flo.per	Hmel.ama.per	0.45342	92.5842	2.3e-16	0.408265	368589	424614	159682
